model,params_M,for_eer,for_auc,for_min_dcf,for_f1,itw_eer,itw_auc,itw_min_dcf,itw_f1,gen_gap_eer
condetection,1.56,0.05155292525830833,0.9826416689031027,0.034345413815210744,0.9531168424350005,0.19511776161321603,0.8930063249882967,0.040479903054231915,0.6368690482743435,0.1435648363549077
lcnn,0.17,0.13756560212312324,0.944378065781038,0.030588452908112303,0.8643471462079749,0.3053662944354978,0.7745835084344087,0.04622948570291736,0.4423617619493908,0.16780069231237454
aasist,0.82,0.036684819072326326,0.9944155493805072,0.011257669111836711,0.9113373755863173,0.27546333728569145,0.8055350159304531,0.04679962220900813,0.2893775517513072,0.23877851821336513
