name,description,for_eer,for_auc,for_f1,itw_eer,itw_auc,itw_f1,gen_gap_eer,disc_acc_final,disc_acc_mean,disc_acc_deviation
full,Full ConDetection-DANN (all components),0.07250600110330843,0.9778051663535656,0.921083882111627,0.19018387512158155,0.8935635593247643,0.7062833884507759,0.11767787401827312,0.586640625,0.5626420454545454,0.08664062500000003
no_dann,No DANN (domain discriminator disabled),0.048123071073936596,0.9908573330873255,0.8149812734082397,0.2807814929861273,0.7818608043702786,0.22389048355045263,0.23265842191219072,,,
single_scale_mid,Single scale (mid only),0.05631774537430487,0.9869758353088518,0.9366515837104072,0.2951702864246045,0.7527478602849258,0.17028051554207732,0.23885254105029965,0.603671875,0.5418142361111111,0.10367187499999997
no_mixstyle,No MixStyle domain augmentation,0.10834199952289364,0.9650043890056805,0.841333690891213,0.20066568183298886,0.8839222716901012,0.70657170278325,0.09232368231009522,0.485,0.5564583333333334,0.015000000000000013
no_consistency,No consistency loss (lambda_c=0),0.05567495638949768,0.9704580081182628,0.9429996815624668,0.14761928304668986,0.927852230332954,0.6930999519718235,0.09194432665719218,0.512734375,0.5776742788461539,0.012734374999999964
